step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
188,388032,3008,0.003785653428461514,0.9375,0.9375,,,,,
189,390096,3024,0.004849092868980751,0.875,0.875,,,,,
190,392160,3040,0.0030616557181385043,1.0,1.0,,,,,
191,394224,3056,0.0033670989729738636,0.9375,0.9375,,,,,
192,396288,3072,0.0037126255647744544,0.9375,0.9375,,,,,
193,398352,3088,0.00498189118949801,0.8125,0.8125,0.0030772586064373875,1.0,1.0,,
194,400416,3104,0.003970527437922767,0.875,0.875,,,,,
195,402480,3120,0.0046426709551401334,0.8125,0.8125,,,,,
196,404544,3136,0.0032335729554010028,0.9375,0.9375,,,,,
197,406608,3152,0.004189084840467732,0.875,0.875,,,,,
198,408672,3168,0.0035808592863576395,0.9375,0.9375,,,,,
199,410736,3184,0.00414263998235516,0.9375,0.9375,,,,,
200,412800,3200,0.0055092064227562085,0.8125,0.8125,,,,,
201,414864,3216,0.003124490212102769,1.0,1.0,0.0030009493503147357,1.0,1.0,,
202,416928,3232,0.002933209878081426,0.9375,0.9375,,,,,
203,418992,3248,0.0035779546441866367,0.9375,0.9375,,,,,
204,421056,3264,0.004432025895938283,0.8125,0.8125,,,,,
205,423120,3280,0.0030318094414670763,1.0,1.0,,,,,
206,425184,3296,0.0042535259511022674,0.8125,0.8125,,,,,
207,427248,3312,0.004961602594654481,0.875,0.875,,,,,
208,429312,3328,0.003554064613135349,0.9375,0.9375,,,,,
209,431376,3344,0.0070704609944303495,0.875,0.875,0.0030093660649318874,0.9375,0.9375,,
210,433440,3360,0.003525556071371374,0.875,0.875,,,,,
211,435504,3376,0.0026764023339243353,1.0,1.0,,,,,
212,437568,3392,0.0033070798291548148,0.9375,0.9375,,,,,
213,439632,3408,0.003797643397601368,0.875,0.875,,,,,
214,441696,3424,0.004991476154032202,0.75,0.75,,,,,
215,443760,3440,0.003948960071909,0.875,0.875,,,,,
216,445824,3456,0.0037903201996599785,0.9375,0.9375,,,,,
217,447888,3472,0.004519644301533643,0.875,0.875,0.004314764445797177,0.9375,0.9375,,
218,449952,3488,0.004153090131162579,0.9375,0.9375,,,,,
219,452016,3504,0.003732385045425942,0.875,0.875,,,,,
220,454080,3520,0.0040605105984556295,0.875,0.875,,,,,
221,456144,3536,0.0031173255093815107,1.0,1.0,,,,,
222,458208,3552,0.0029387840801846487,0.9375,0.9375,,,,,
223,460272,3568,0.0030270842704326006,1.0,1.0,,,,,
224,462336,3584,0.0035308856400233643,0.875,0.875,,,,,
225,464400,3600,0.003613503951733897,0.9375,0.9375,0.0038852099568902664,0.9375,0.9375,,
226,466464,3616,0.004284661862637453,0.9375,0.9375,,,,,
227,468528,3632,0.004191245174680343,0.875,0.875,,,,,
228,470592,3648,0.004046408444660501,0.8125,0.8125,,,,,
229,472656,3664,0.0030851464851553998,0.9375,0.9375,,,,,
230,474720,3680,0.0032062108435889415,0.9375,0.9375,,,,,
231,476784,3696,0.004495323459442164,0.875,0.875,,,,,
232,478848,3712,0.0032266274646966207,1.0,1.0,,,,,
233,480912,3728,0.0038761084506703917,0.9375,0.9375,0.0034066399657422127,0.9375,0.9375,,
234,482976,3744,0.0037119722702825546,0.8125,0.8125,,,,,
235,485040,3760,0.0032272555019898703,1.0,1.0,,,,,
236,487104,3776,0.0032095240694787145,0.9375,0.9375,,,,,
237,489168,3792,0.004175676922403579,0.8125,0.8125,,,,,
238,491232,3808,0.003517643270938974,0.9375,0.9375,,,,,
239,493296,3824,0.0036746600364360423,0.9375,0.9375,,,,,
240,495360,3840,0.004540901402103585,0.75,0.75,,,,,
241,497424,3856,0.004666935225835986,0.8125,0.8125,0.0035336793729427783,0.875,0.875,,
242,499488,3872,0.005274684101497362,0.75,0.75,,,,,
243,501552,3888,0.0028626602928211236,1.0,1.0,,,,,
244,503616,3904,0.0026510756377460076,1.0,1.0,,,,,
245,505680,3920,0.0038642791229319107,0.875,0.875,,,,,
246,507744,3936,0.0028783444277151967,1.0,1.0,,,,,
247,509808,3952,0.0031270939230527753,0.9375,0.9375,,,,,
248,511872,3968,0.003776283873822092,0.875,0.875,,,,,
249,513936,3984,0.003690441868682481,0.9375,0.9375,0.0037718291979597657,0.875,0.875,,
250,516000,4000,0.004014111004744752,0.8125,0.8125,,,,,
251,517936,4016,0.0032264808499991604,0.9375,0.9375,,,,,
252,520000,4032,0.0036394184562103544,0.875,0.875,,,,,
253,522064,4048,0.002731189013618608,1.0,1.0,,,,,
254,524128,4064,0.0029201652032151315,1.0,1.0,,,,,
255,526192,4080,0.0033631094857885604,1.0,1.0,,,,,
256,528256,4096,0.002734188704341067,1.0,1.0,,,,,
257,530320,4112,0.003347728326697716,0.9375,0.9375,0.003665099604245648,0.9375,0.9375,,
258,532384,4128,0.002607154561733999,1.0,1.0,,,,,
259,534448,4144,0.007815277921750541,0.75,0.75,,,,,
260,536512,4160,0.004408075262523512,0.8125,0.8125,,,,,
261,538576,4176,0.0029804964155541224,0.9375,0.9375,,,,,
262,540640,4192,0.0029686591910428107,1.0,1.0,,,,,
263,542704,4208,0.003702879492980876,0.9375,0.9375,,,,,
264,544768,4224,0.003227200444700578,0.9375,0.9375,,,,,
265,546832,4240,0.003226303672450883,0.875,0.875,0.003364501609986756,0.9375,0.9375,,
266,548896,4256,0.00314919194354783,0.9375,0.9375,,,,,
267,550960,4272,0.0031263632285638047,0.9375,0.9375,,,,,
268,553024,4288,0.0038076486008338903,0.875,0.875,,,,,
269,555088,4304,0.0038055222925659055,0.8125,0.8125,,,,,
270,557152,4320,0.004123875935971141,0.8125,0.8125,,,,,
271,559216,4336,0.0032909767774417474,0.875,0.875,,,,,
272,561280,4352,0.0031114866540603485,0.9375,0.9375,,,,,
273,563344,4368,0.003349769422544417,1.0,1.0,0.003432306890867967,0.9375,0.9375,,
274,565408,4384,0.0034263204334903825,0.9375,0.9375,,,,,
275,567472,4400,0.004505742897902383,0.8125,0.8125,,,,,
276,569536,4416,0.0030858391956942325,1.0,1.0,,,,,
277,571600,4432,0.0041333547417762625,0.8125,0.8125,,,,,
278,573664,4448,0.003553139195902168,0.875,0.875,,,,,
279,575728,4464,0.003322151975021995,1.0,1.0,,,,,
280,577792,4480,0.0049981259611740145,0.8125,0.8125,,,,,
281,579856,4496,0.0032903716127862274,0.9375,0.9375,0.004363947329685473,0.875,0.875,,
282,581920,4512,0.0039186593910982065,0.9375,0.9375,,,,,
283,583984,4528,0.0041156032447977435,0.875,0.875,,,,,
284,586048,4544,0.0038858548303771956,0.875,0.875,,,,,
285,588112,4560,0.0029009013978542448,1.0,1.0,,,,,
286,590176,4576,0.003850179873652844,0.875,0.875,,,,,
287,592240,4592,0.00256505680459833,1.0,1.0,,,,,
288,594304,4608,0.004254192419152339,0.875,0.875,,,,,
289,596368,4624,0.005005271000338752,0.75,0.75,0.003143417114142128,0.9375,0.9375,,
290,598432,4640,0.0043355151965992315,0.875,0.875,,,,,
291,600496,4656,0.0039454366257111965,0.8125,0.8125,,,,,
292,602560,4672,0.0025510280288105823,1.0,1.0,,,,,
293,604624,4688,0.0031559126146932176,0.9375,0.9375,,,,,
294,606688,4704,0.00305868843137523,1.0,1.0,,,,,
295,608752,4720,0.0025821189888662046,1.0,1.0,,,,,
296,610816,4736,0.0031550846593959986,0.9375,0.9375,,,,,
297,612880,4752,0.003670074023559648,0.9375,0.9375,0.003572667020610173,0.9375,0.9375,,
298,614944,4768,0.0025068203368483035,1.0,1.0,,,,,
299,617008,4784,0.004954559581785426,0.8125,0.8125,,,,,
300,619072,4800,0.0037029258984481116,0.875,0.875,,,,,
301,621136,4816,0.003454061798897716,1.0,1.0,,,,,
302,623200,4832,0.004593672986252037,0.8125,0.8125,,,,,
303,625264,4848,0.0031928409778760143,0.9375,0.9375,,,,,
304,627328,4864,0.004003053710716947,0.875,0.875,,,,,
305,629392,4880,0.003106252798375968,0.9375,0.9375,0.0040674263531174735,0.875,0.875,,
306,631456,4896,0.004967188925481173,0.875,0.875,,,,,
307,633520,4912,0.003612439239275358,0.9375,0.9375,,,,,
308,635584,4928,0.003685682754681009,0.9375,0.9375,,,,,
309,637648,4944,0.003257215184026274,0.9375,0.9375,,,,,
310,639712,4960,0.0051254361313605185,0.8125,0.8125,,,,,
311,641776,4976,0.004638558232254236,0.75,0.75,,,,,
312,643840,4992,0.003919599697131417,0.875,0.875,,,,,
313,645904,5008,0.003914862900888052,0.875,0.875,0.0033209622479760535,0.9375,0.9375,,
314,647968,5024,0.004056338062505585,0.8125,0.8125,,,,,
315,650032,5040,0.003852133540045619,0.875,0.875,,,,,
316,652096,5056,0.0036362268450925383,0.875,0.875,,,,,
317,654160,5072,0.0037120135768589817,0.9375,0.9375,,,,,
318,656224,5088,0.004366064680220378,0.75,0.75,,,,,
319,658288,5104,0.003834305526874482,0.9375,0.9375,,,,,
320,660352,5120,0.0030355978658191205,1.0,1.0,,,,,
321,662416,5136,0.003743423114369293,0.875,0.875,0.003307775719964795,0.9375,0.9375,,
322,664480,5152,0.003344908264283627,0.9375,0.9375,,,,,
323,666544,5168,0.004138665265594323,0.875,0.875,,,,,
324,668608,5184,0.0049742880727089486,0.75,0.75,,,,,
325,670672,5200,0.003002159000275088,1.0,1.0,,,,,
326,672736,5216,0.00318020073461436,0.9375,0.9375,,,,,
327,674800,5232,0.003627819370039701,0.9375,0.9375,,,,,
328,676864,5248,0.0032541982253615673,0.9375,0.9375,,,,,
329,678928,5264,0.003938727472613376,0.875,0.875,0.0036999333085004547,0.9375,0.9375,,
330,680992,5280,0.004041635006426386,0.875,0.875,,,,,
331,683056,5296,0.002507651354039778,1.0,1.0,,,,,
332,685120,5312,0.0035468884637605063,0.875,0.875,,,,,
333,687184,5328,0.003656673584448242,0.9375,0.9375,,,,,
334,689248,5344,0.003042306191836789,0.9375,0.9375,,,,,
335,691312,5360,0.0034766712173297833,0.875,0.875,,,,,
336,693376,5376,0.003637669014748726,0.9375,0.9375,,,,,
